#,id,date_time,open,close,low,high,volume,pair_id
260,10363106,2016-04-16 07:00:00.000000,430.61709605,430.85,429.599999,436.34562405,20080.51611305,83
261,10363107,2016-04-17 07:00:00.000000,431.43100004,428,426,438.79118705,71854.77239978,83
262,10363108,2016-04-18 07:00:00.000000,428.81999999,430.31052983,427.2,432.8,46770.67435812,83
263,10363109,2016-04-19 07:00:00.000000,428.7,437.93750001,427.28621864,440.53415106,30095.27729175,83
264,10363110,2016-04-20 07:00:00.000000,437.93750002,443.12202632,434.15442601,448.54054299,41707.7556308,83
265,10363111,2016-04-21 07:00:00.000000,443.12202632,450.79900002,440.74000012,459.24500033,67739.88195091,83
266,10363112,2016-04-22 07:00:00.000000,450.79900455,447.539519,445.63418304,456.74703717,64890.05616896,83
267,10363113,2016-04-23 07:00:00.000000,449.28214327,453.11,446.62111001,454.82827541,29399.15866886,83
268,10363114,2016-04-24 07:00:00.000000,453.11,460.90144101,451,464.38504995,28173.24466087,83
269,10363115,2016-04-25 07:00:00.000000,460.90144101,465,456.55000001,474.06891535,60588.22044081,83
270,10363116,2016-04-26 07:00:00.000000,463.9,467.75,463.223,472.47999999,49164.7279618,83
271,10363117,2016-04-27 07:00:00.000000,467.75,443.02499607,443,469,105687.34272316,83
272,10363118,2016-04-28 07:00:00.000000,443.02499607,451,421.91,451.1,57940.84010883,83
273,10363119,2016-04-29 07:00:00.000000,451,455.94999999,445,484.484,34717.63027737,83
274,10363120,2016-04-30 07:00:00.000000,454.95450011,445.68435605,440.01,456.456,43524.47236297,83
275,10363121,2016-05-01 07:00:00.000000,445.68435605,446.99655141,442.0272721,455.2,20456.72330922,83
276,10363122,2016-05-02 07:00:00.000000,447.4470001,445,425.9,451.19999999,75384.13459414,83
277,10363123,2016-05-03 07:00:00.000000,445.00000446,450.858,440.2,450.9,22492.52913576,83
278,10363124,2016-05-04 07:00:00.000000,447.80000029,449.48999999,444.21390929,450.858,6435.24781342,83
279,10363125,2016-05-05 07:00:00.000000,445,446.1200002,444.54430455,451.89,19991.11077085,83
280,10363126,2016-05-06 07:00:00.000000,446.12000071,461,444.47999995,463.04787573,30812.34317849,83
281,10363127,2016-05-07 07:00:00.000000,459.89000015,457.76002301,455.32799997,461.9999,25239.04319469,83
282,10363128,2016-05-08 07:00:00.000000,457.76002301,459,455.41,463,14279.29329401,83
283,10363129,2016-05-09 07:00:00.000000,459,463.226,456.06,465.07029999,12764.58349906,83
284,10363130,2016-05-10 07:00:00.000000,460.50000925,449.5,449.48999997,464.8342,28709.13615075,83
285,10363131,2016-05-11 07:00:00.000000,449.5,450.23617237,449.48999997,455.71900601,20983.73112006,83
286,10363132,2016-05-12 07:00:00.000000,453.53999998,454.44000449,448.09,455.06,19977.31893749,83
287,10363133,2016-05-13 07:00:00.000000,454.44000904,453.37281795,450.13,457.98,22561.10049539,83
288,10363134,2016-05-14 07:00:00.000000,453.37281795,455.63002825,450,457.75,27114.7512498,83
289,10363135,2016-05-15 07:00:00.000000,455.63002825,459.15690131,454.26416333,463,26740.77420649,83
290,10363136,2016-05-16 07:00:00.000000,458,453.97511699,450.9,461.979999,46775.17480875,83
291,10363137,2016-05-17 07:00:00.000000,453.97511699,450.71421308,448.99999999,457.96737983,25510.06815936,83
292,10363138,2016-05-18 07:00:00.000000,453.5,447.98,443.80092386,456.69,71102.40400167,83
293,10363139,2016-05-19 07:00:00.000000,448.13000001,434.36388823,432.3333,454.89813585,96675.24782168,83
294,10363140,2016-05-20 07:00:00.000000,432.35,436.00000437,422.0071547,444.44444443,90187.04589928,83
295,10363141,2016-05-21 07:00:00.000000,436.00000874,435.35569089,418.17508636,440,53869.10433339,83
296,10363142,2016-05-22 07:00:00.000000,435.35569088,434.17000002,420,450,51438.68178118,83
297,10363143,2016-05-23 07:00:00.000000,434.17000002,441.27,430.00000001,444.97999999,31745.6864552,83
298,10363144,2016-05-24 07:00:00.000000,441.2700006,447.93890015,439.5000001,449,39450.44406213,83
299,10363145,2016-05-25 07:00:00.000000,446.99,445.26100055,444,453.35,29201.94786133,83
300,10363146,2016-05-26 07:00:00.000000,449.106,452,445,454.95834691,29263.18236875,83
301,10363147,2016-05-27 07:00:00.000000,452,460.00000005,450.76000448,477.85000015,179049.43162271,83
302,10363148,2016-05-28 07:00:00.000000,466.00811494,489,461,521,342700.04829804,83
303,10363149,2016-05-29 07:00:00.000000,491,525.20000331,480,551.00000005,345968.29122804,83
304,10363150,2016-05-30 07:00:00.000000,529.8419999,534.5,522.0149885,542.43419978,174162.68789993,83
305,10363151,2016-05-31 07:00:00.000000,537.99999998,529.99999,510.50000001,549,227226.83487321,83
306,10363152,2016-06-01 07:00:00.000000,529.9999999,535.5,517.28,541.99999999,203694.98466838,83
307,10363153,2016-06-02 07:00:00.000000,534.4530179,536.8725,531.78309789,539.83129126,75318.74626308,83
308,10363154,2016-06-03 07:00:00.000000,537,565.06714367,534.52000018,579,289992.08168272,83
